postionType,postionLocation,positionName,postionNumber,postionLink,publishDate
2017-11-22,position_detail.php?id=32363&keywords=&tid=0&lid=0,深圳,1,技术类,18302-剑灵IP手游本地化资深客户端工程师（深圳）
2017-11-22,position_detail.php?id=28894&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21090-射击类游戏社区经理（深圳）
2017-11-22,position_detail.php?id=25123&keywords=&tid=0&lid=0,北京,1,产品/项目类,SA-腾讯社交广告产品渠道运营经理（品牌渠道）
2017-11-22,position_detail.php?id=31226&keywords=&tid=0&lid=0,深圳,1,市场类,17467-QQ会员高级品牌经理（深圳）
2017-11-22,position_detail.php?id=32394&keywords=&tid=0&lid=0,北京,1,产品/项目类,MIG16-车联网产品经理（内容方向）（北京）
2017-11-21,position_detail.php?id=33212&keywords=&tid=0&lid=0,深圳,1,技术类,20016-QQ飞车手游高级测试工程师（深圳）
2017-11-21,position_detail.php?id=31631&keywords=&tid=0&lid=0,深圳,1,产品/项目类,24012-资深游戏社交产品经理（深圳）
2017-11-21,position_detail.php?id=30350&keywords=&tid=0&lid=0,深圳,1,职能类,21530-腾讯音乐高级培训经理（深圳）
2017-11-21,position_detail.php?id=23581&keywords=&tid=0&lid=0,深圳,1,市场类,OMG236-高级商务拓展经理（深圳）
2017-11-21,position_detail.php?id=25808&keywords=&tid=0&lid=0,北京,2,设计类,15612-高级场景原画设计师（北京）
2017-11-21,position_detail.php?id=34437&keywords=&tid=0&lid=0,北京,1,产品/项目类,23671-高级产品经理（北京）
2017-11-21,position_detail.php?id=26875&keywords=&tid=0&lid=0,上海,1,产品/项目类,HY2-产品总监（上海）
2017-11-21,position_detail.php?id=33080&keywords=&tid=0&lid=0,深圳,1,,23295-游戏公关传播经理（深圳）
2017-11-21,position_detail.php?id=31698&keywords=&tid=0&lid=0,深圳,1,市场类,23295-游戏数据营销经理（深圳）
2017-11-21,position_detail.php?id=31746&keywords=&tid=0&lid=0,深圳,1,市场类,HY3-游戏市场分析经理（深圳）
2017-11-21,position_detail.php?id=33727&keywords=&tid=0&lid=0,深圳,1,市场类,21482-电竞明星经纪经理（深圳）
2017-11-21,position_detail.php?id=34364&keywords=&tid=0&lid=0,深圳,2,设计类,SNG08-社交平台部-ISUX-社交平台设计中心-视觉设计师（深圳）
2017-11-21,position_detail.php?id=24411&keywords=&tid=0&lid=0,深圳,7,技术类,18428-财付通清算业务测试工程师（深圳）
2017-11-21,position_detail.php?id=34365&keywords=&tid=0&lid=0,深圳,2,设计类,SNG08-社交平台部-ISUX-社交平台设计中心-交互设计师（深圳）
2017-11-21,position_detail.php?id=28856&keywords=&tid=0&lid=0,北京,2,技术类,TEG03-高级算法研发工程师（深圳）
2017-11-21,position_detail.php?id=25552&keywords=&tid=0&lid=0,深圳,1,技术类,20718-后台开发工程师
2017-11-21,position_detail.php?id=29510&keywords=&tid=0&lid=0,深圳,2,技术类,TEG09-高级系统测试工程师（深圳）
2017-11-21,position_detail.php?id=33120&keywords=&tid=0&lid=0,深圳,2,技术类,15602-游戏程序客户端开发（深圳）
2017-11-21,position_detail.php?id=28831&keywords=&tid=0&lid=0,北京,2,内容编辑类,22086-国内足球编辑(北京）
2017-11-21,position_detail.php?id=32399&keywords=&tid=0&lid=0,深圳,1,设计类,15579-2D游戏角色美术师
2017-11-21,position_detail.php?id=33105&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21228-寻仙手游版本管理（深圳）
2017-11-21,position_detail.php?id=33139&keywords=&tid=0&lid=0,深圳,2,技术类,SNG02-QQ通信平台后台开发工程师（深圳）
2017-11-21,position_detail.php?id=29527&keywords=&tid=0&lid=0,深圳,1,技术类,MIG03-搜索评价优化工程师（深圳）
2017-11-21,position_detail.php?id=32392&keywords=&tid=0&lid=0,北京,3,技术类,MIG16-地图导航惯导开发工程师（北京）
2017-11-20,position_detail.php?id=30998&keywords=&tid=0&lid=0,深圳,2,市场类,16811-授权业务品牌策划
2017-11-20,position_detail.php?id=34434&keywords=&tid=0&lid=0,深圳,1,技术类,TEG05-运营开发工程师（深圳）
2017-11-20,position_detail.php?id=34432&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SNG03-短视频内容运营（深圳）
2017-11-20,position_detail.php?id=34431&keywords=&tid=0&lid=0,北京,2,市场类,22990-游戏云商务拓展（北京）
2017-11-20,position_detail.php?id=34428&keywords=&tid=0&lid=0,深圳,3,产品/项目类,22989-大数据人工智能产品中心项目经理（深圳/北京/上海/成都）
2017-11-20,position_detail.php?id=32340&keywords=&tid=0&lid=0,北京,1,市场类,SA-腾讯社交广告市场研究经理（北京）
2017-11-20,position_detail.php?id=31528&keywords=&tid=0&lid=0,深圳,3,,SA-腾讯社交广告公关传播经理（深圳）
2017-11-20,position_detail.php?id=31728&keywords=&tid=0&lid=0,北京,2,市场类,SA-腾讯社交广告产品市场经理（北京）
2017-11-20,position_detail.php?id=34313&keywords=&tid=0&lid=0,深圳,1,市场类,SA-腾讯社交广告SMB电商行业经理（深圳）
2017-11-20,position_detail.php?id=26757&keywords=&tid=0&lid=0,上海,1,市场类,SA-腾讯社交广告SMB区域业务拓展经理（上海）
2017-11-20,position_detail.php?id=29673&keywords=&tid=0&lid=0,深圳,3,市场类,SA-腾讯社交广告SMB行业运营经理（深圳）
2017-11-20,position_detail.php?id=34423&keywords=&tid=0&lid=0,深圳,1,产品/项目类,20718-JD电商运营经理（深圳）
2017-11-20,position_detail.php?id=34426&keywords=&tid=0&lid=0,北京,1,技术类,MIG16-自动驾驶仿真模拟系统-交通流仿真工程师（北京）
2017-11-20,position_detail.php?id=34420&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21228-移动游戏活动策划(深圳)
2017-11-20,position_detail.php?id=34417&keywords=&tid=0&lid=0,上海,1,技术类,HY1-移动游戏高级测试开发工程师（上海）
2017-11-20,position_detail.php?id=34415&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SNG17-QQ钱包商业支付KA客户运营经理（深圳）
